file,class,u1_var,u2_var,u3_var,u4_var,u1_kurt,u2_kurt,u3_kurt,u4_kurt,u1_energy,u2_energy,u3_energy,u4_energy,u1_kraskov_entropy,u2_kraskov_entropy,u3_kraskov_entropy,u4_kraskov_entropy,u3_sample_entropy,u4_sample_entropy,omega1,omega2,u4_spectral_bandwidth,v_total_variation,v_energy,v_jump_mean,v_num_jumps
u10_AV_decomposed,unknown,0.0002279562849082,0.0001604726596142,3.949597943726243e-05,4.380580353794624e-05,459.0667600524284,467.5952442801013,211.8452621921197,196.4332604011803,6.966344066794743,4.904044477811695,1.2069971316027397,1.3387053561196371,-4.435995205930554,-4.4567739569041,-4.441341870837799,-4.559371315839722,0.9160862119838676,0.5641928739195323,0.12897339078063,0.1410127861650432,38.2327102539305,8.361719303805902,3.531785216763498,0.5885310422004845,13
u10_AV_gauss1093_decomposed,unknown,0.0002263835904915,0.0001597887271856,3.9358279428028586e-05,4.347633518978384e-05,459.1205886732902,466.7925472445696,212.24203796877035,197.3677011690013,6.918282525420534,4.883143502793141,1.2027890193205533,1.328636803399794,-4.403244825939992,-4.512308708356165,-4.407953261742471,-4.557552402637083,0.9229866106127376,0.6138712382477766,0.1289740691916575,0.1409948759592549,38.242518675529375,8.654723739575164,3.5756416372683235,0.6552810755989851,12
u10_AV_gauss1249_decomposed,unknown,0.0002276038392646,0.0001594074071153,3.924389792779832e-05,4.349679112280621e-05,459.6210975569877,467.5202577928972,211.95289977576235,196.291092736874,6.955573327927379,4.871490361444324,1.199293520673517,1.329261936712958,-4.411119219013265,-4.4714822928071,-4.385217031492586,-4.5412563243674375,0.9815234564411828,0.5876136694860622,0.1289874673250804,0.1410483244442873,38.32567730430964,8.755529434198628,3.56687400534182,0.6035127033286135,13
u10_AV_gauss1405_decomposed,unknown,0.0002275726702486,0.0001610064521799,4.0028224360804576e-05,4.369974333153099e-05,459.9617214568214,467.5471564461701,208.0541393308,196.94646341259505,6.954620802800109,4.920357178618621,1.223262536466188,1.335464156211587,-4.418716957197453,-4.417159480381765,-4.37445613757702,-4.565543348573313,1.0201531934937775,0.6178827442705309,0.1289534874248877,0.141008331885417,38.33119778977249,8.282633438350505,3.529047724441208,0.5748533522857996,13
u10_AV_gauss1561_decomposed,unknown,0.0002269551050286,0.0001622914679573,3.967455280094109e-05,4.412091853306566e-05,459.2124443906174,468.3812517020908,209.72237992475863,194.6327251378411,6.935748009677061,4.959627260777928,1.2124543335967592,1.348335270370486,-4.410093517797864,-4.504611490154153,-4.346678663434305,-4.580726585882073,1.0494003911684426,0.5770083674243075,0.1289267231559446,0.140930467114732,38.36565902840072,8.628614859708396,3.5914152303543103,0.7000726831581959,11
u10_AV_gauss157_decomposed,unknown,0.0002289478199333,0.0001606833311776,3.96070061597912e-05,4.4119574004429405e-05,458.0008573771973,466.3537068716578,210.4799232416159,195.09801430692588,6.996645377162386,4.910482600787584,1.210390108243219,1.3482941815753624,-4.375556521938797,-4.455664610077908,-4.3641041457807725,-4.525842869273446,1.002276277468489,0.6150058842186249,0.1289894567870022,0.1410342617343664,38.041248673057886,8.373062147337809,3.5242270141045027,0.5865089848896191,13
u10_AV_gauss1717_decomposed,unknown,0.000228997508041,0.0001603007968436,4.03266474998439e-05,4.439349799406584e-05,459.0280531913304,466.9302267138584,206.7129957222357,192.0035915439531,6.9981638457356,4.898792351541492,1.2323823475952294,1.3566652986986525,-4.405728510913449,-4.553909755198487,-4.3089261381028185,-4.506381112987294,1.0002251833592848,0.5835923211088558,0.1289963063333323,0.1410502366180039,38.2045327202782,8.357867575807402,3.471666774043947,0.6145142498949332,12
u10_AV_gauss1873_decomposed,unknown,0.0002291054437672,0.00016004332105,3.9823851312721856e-05,4.3979129086293534e-05,459.4448054734253,466.7903472268391,211.5393714119737,197.74287212234924,7.001462361527132,4.890923891289976,1.21701689611678,1.3440021848771306,-4.384294124645943,-4.47039630423579,-4.334707571812511,-4.56627407473682,0.9441798790178692,0.6335802430915716,0.1289917141909193,0.1410501907510276,38.26264312250442,8.486271621246432,3.5503259970504963,0.634463518553997,12
u10_AV_gauss1_decomposed,unknown,0.0002277311002659,0.0001609732238318,3.9835945447395815e-05,4.437865799012399e-05,459.6474905219866,467.1293801497146,212.2619759314556,194.1012949925156,6.959462424127628,4.919341720300517,1.217386492872416,1.3562117881781892,-4.406686458408633,-4.521241296094439,-4.401721569989074,-4.537970681129132,0.9736202737775306,0.6444886636637717,0.1289588414094978,0.1410101097045245,38.11140076979383,8.293452412465161,3.5918940839558644,0.6968292039307392,11
u10_AV_gauss2029_decomposed,unknown,0.00022427354096,0.0001609531388116,3.92070525913208e-05,4.270068524131514e-05,458.99687992789495,468.08941635124535,210.94878444052523,201.2685258924444,6.853799411737811,4.918727922085033,1.1981675271907637,1.304932940974591,-4.391934972616101,-4.458634515181738,-4.406250038982873,-4.585624463633924,1.0490808704563046,0.647267574809247,0.1289015193445455,0.1409229501986632,38.31521866369565,8.7076284279529,3.570696196706886,0.6464007270906115,12
